Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
774.792,9.2e-05,1.64e-09,450,450
776.356,9.2e-05,8.23e-10,450,450
777.848,9.2e-05,1.1e-09,450,450
779.374,9.2e-05,3e-09,450,450
780.928,9.2e-05,3.55e-09,450,450
782.583,9.2e-05,6.41e-09,450,450
784.244,9.2e-05,4.85e-09,450,450
785.795,9.21e-05,3.13e-09,450,450
787.401,9.21e-05,2.49e-09,450,450
788.906,9.21e-05,1.52e-09,450,450
790.471,9.21e-05,4.01e-09,450,450
791.971,9.21e-05,4.29e-09,450,450
793.684,9.21e-05,1.77e-09,450,450
795.174,9.21e-05,3.95e-09,450,450
796.92,9.21e-05,3.69e-09,450,450
798.719,9.21e-05,1.29e-09,450,450
800.339,9.22e-05,6.18e-09,450,450
801.886,9.22e-05,3.58e-09,450,450
803.394,9.22e-05,3.88e-09,450,450
804.957,9.22e-05,2.12e-09,450,450
806.675,9.22e-05,2.55e-09,450,450
808.212,9.22e-05,3.2e-09,450,450
809.779,9.22e-05,2.63e-09,450,450
811.258,9.22e-05,8.43e-10,450,450
812.832,9.22e-05,1.97e-09,450,450
814.385,9.22e-05,3.55e-09,450,450
816.03,9.23e-05,5.82e-09,450,450
817.73,9.23e-05,1.4e-09,450,450
819.414,9.23e-05,4.62e-09,450,450
820.883,9.23e-05,2.36e-09,450,450
822.583,9.23e-05,2.11e-09,450,450
824.699,9.23e-05,9.94e-10,450,450
826.251,9.23e-05,2.78e-09,450,450
827.74,9.23e-05,3.5e-09,450,450
829.215,9.23e-05,4.6e-09,450,450
830.723,9.24e-05,3.37e-09,450,450
832.209,9.24e-05,3.09e-09,450,450
833.786,9.24e-05,2.99e-09,450,450
835.237,9.24e-05,2.71e-09,450,450
836.724,9.24e-05,2.78e-09,450,450
838.19,9.24e-05,2.17e-09,450,450
839.727,9.24e-05,1.37e-09,450,450
841.184,9.24e-05,4.86e-09,450,450
842.78,9.24e-05,3.87e-09,450,450
844.355,9.24e-05,3.11e-09,450,450
845.885,9.25e-05,3.08e-09,450,450
847.374,9.25e-05,1.07e-09,450,450
848.837,9.25e-05,4.12e-09,450,450
850.41,9.25e-05,2.01e-09,450,450
851.948,9.25e-05,2.63e-09,450,450
853.593,9.25e-05,9.19e-10,450,450
855.074,9.25e-05,4.14e-09,450,450
856.667,9.25e-05,1.72e-09,450,450
858.124,9.25e-05,2.99e-09,450,450
859.696,9.25e-05,4.31e-09,450,450
861.252,9.26e-05,3.06e-09,450,450
862.749,9.26e-05,2.75e-09,450,450
864.239,9.26e-05,2.88e-09,450,450
865.728,9.26e-05,7.38e-10,450,450
867.247,9.26e-05,3.43e-09,450,450
868.785,9.26e-05,1.71e-09,450,450
870.312,9.26e-05,3.58e-09,450,450
871.799,9.26e-05,1.9e-09,450,450
873.421,9.26e-05,1.96e-09,450,450
874.962,9.26e-05,4.4e-09,450,450
876.705,9.27e-05,3.59e-09,450,450
878.159,9.27e-05,1.6e-09,450,450
879.673,9.27e-05,2.25e-09,450,450
881.286,9.27e-05,7.37e-09,450,450
882.845,9.27e-05,2.56e-09,450,450
884.685,9.27e-05,4.95e-09,450,450
886.103,9.27e-05,8.76e-10,450,450
887.641,9.27e-05,1.93e-09,450,450
889.243,9.27e-05,5.17e-09,450,450
890.883,9.28e-05,2.36e-09,450,450
892.484,9.28e-05,8.43e-10,450,450
893.965,9.28e-05,2.49e-09,450,450
895.56,9.28e-05,3.33e-09,450,450
897.048,9.28e-05,3.02e-09,450,450
898.656,9.28e-05,2.88e-09,450,450
900.17,9.28e-05,6e-09,450,450
901.779,9.29e-05,3.77e-09,450,450
903.303,9.29e-05,3.5e-09,450,450
904.833,9.29e-05,3.19e-09,450,450
906.281,9.29e-05,3.03e-09,450,450
907.74,9.29e-05,1.07e-09,450,450
909.148,9.29e-05,2.6e-09,450,450
910.708,9.29e-05,4.86e-09,450,450
912.262,9.29e-05,2.33e-09,450,450
913.774,9.29e-05,2.26e-09,450,450
915.215,9.29e-05,2.63e-09,450,450
916.766,9.29e-05,2.7e-09,450,450
918.278,9.3e-05,1.99e-09,450,450
919.906,9.3e-05,9.49e-10,450,450
921.463,9.3e-05,1.49e-09,450,450
922.976,9.3e-05,1.06e-09,450,450
924.47,9.3e-05,2.75e-09,450,450
925.899,9.3e-05,4.91e-09,450,450
927.465,9.3e-05,2.05e-09,450,450
928.943,9.3e-05,3.14e-09,450,450
930.519,9.3e-05,2.21e-09,450,450
932.198,9.3e-05,4.77e-09,450,450
933.794,9.3e-05,1.23e-09,450,450
935.282,9.3e-05,1.73e-09,450,450
936.792,9.31e-05,7.11e-09,450,450
938.29,9.31e-05,1.06e-09,450,450
939.826,9.31e-05,5.17e-09,450,450
941.506,9.31e-05,4.58e-09,450,450
943.13,9.31e-05,2.62e-09,450,450
944.99,9.31e-05,2.57e-09,450,450
946.831,9.31e-05,3.2e-09,450,450
948.469,9.31e-05,2.25e-09,450,450
950.044,9.32e-05,3.71e-09,450,450
951.663,9.32e-05,3.55e-09,450,450
953.189,9.32e-05,2.51e-09,450,450
954.873,9.32e-05,4.72e-09,450,450
956.65,9.32e-05,1.79e-09,450,450
958.12,9.32e-05,3.68e-09,450,450
959.887,9.32e-05,4.62e-09,450,450
961.507,9.32e-05,2.97e-09,450,450
963.125,9.32e-05,5.56e-09,450,450
964.712,9.32e-05,8.23e-10,450,450
966.473,9.33e-05,5.19e-09,450,450
968.096,9.33e-05,1.35e-09,450,450
969.88,9.33e-05,4.03e-09,450,450
971.561,9.33e-05,1.42e-09,450,450
973.334,9.33e-05,1.18e-09,450,450
974.914,9.33e-05,7.43e-09,450,450
976.591,9.33e-05,4.22e-09,450,450
978.27,9.33e-05,8.23e-10,450,450
979.966,9.33e-05,3.77e-09,450,450
981.63,9.34e-05,3.44e-09,450,450
983.137,9.34e-05,2.41e-09,450,450
984.737,9.34e-05,4.53e-09,450,450
986.263,9.34e-05,1.32e-09,450,450
987.874,9.34e-05,3.69e-09,450,450
989.407,9.34e-05,3.34e-09,450,450
990.922,9.34e-05,4.62e-09,450,450
992.505,9.34e-05,2.91e-09,450,450
994.048,9.35e-05,3.57e-09,450,450
995.747,9.35e-05,4.02e-09,450,450
997.393,9.35e-05,5.75e-09,450,450
999.028,9.35e-05,1.83e-09,450,450
1000.636,9.35e-05,3.59e-09,450,450
1002.469,9.35e-05,2.07e-09,450,450
1004.484,9.35e-05,3.6e-09,450,450
1006.122,9.35e-05,2.02e-09,450,450
1007.747,9.35e-05,5.52e-09,450,450
1009.316,9.36e-05,4.4e-09,450,450
1010.812,9.36e-05,3.18e-09,450,450
1012.361,9.36e-05,1.78e-09,450,450
