Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
9307.719,0.00010113,,407.5,407.5
9324.667,0.00010115,,407.5,407.5
9340.933,0.0001012,,407.5,407.5
9357.15,0.000101214,,407.5,407.5
9374.547,0.000101223,,407.5,407.5
9391.294,0.000101202,,407.5,407.5
9407.807,0.000101199,,407.5,407.5
9424.075,0.000101237,,407.5,407.5
9439.903,0.000101233,,407.5,407.5
9455.866,0.000101225,,407.5,407.5
9471.938,0.000101214,,407.5,407.5
9488.892,0.000101204,,407.5,407.5
9506.73,0.000101233,,407.5,407.5
9522.897,0.000101271,,407.5,407.5
9538.951,0.000101296,,407.5,407.5
9555.627,0.000101314,,407.5,407.5
9572.438,0.000101306,,407.5,407.5
9588.353,0.000101312,,407.5,407.5
9604.455,0.000101333,,407.5,407.5
9620.68,0.000101355,,407.5,407.5
9637.262,0.000101365,,407.5,407.5
9653.236,0.000101392,,407.5,407.5
9670.427,0.00010141,,407.5,407.5
9686.34,0.000101431,,407.5,407.5
9702.839,0.000101419,,407.5,407.5
9718.989,0.000101398,,407.5,407.5
9735.774,0.000101416,,407.5,407.5
9753.252,0.000101458,,407.5,407.5
9769.511,0.000101499,,407.5,407.5
9785.991,0.000101496,,407.5,407.5
9802.855,0.000101486,,407.5,407.5
9820.109,0.000101505,,407.5,407.5
9836.997,0.000101553,,407.5,407.5
9853.349,0.00010155,,407.5,407.5
9869.649,0.000101536,,407.5,407.5
9886.007,0.000101548,,407.5,407.5
9902.599,0.000101563,,407.5,407.5
9919.466,0.00010155,,407.5,407.5
9935.459,0.000101517,,407.5,407.5
9951.466,0.000101511,,407.5,407.5
9967.784,0.000101551,,407.5,407.5
9985.108,0.000101557,,407.5,407.5
10001.85,0.000101564,,407.5,407.5
10017.87,0.000101563,,407.5,407.5
10033.88,0.00010155,,407.5,407.5
10050.34,0.000101554,,407.5,407.5
10066.67,0.000101561,,407.5,407.5
10083.14,0.00010156,,407.5,407.5
10100.03,0.000101538,,407.5,407.5
10116.19,0.000101534,,407.5,407.5
10132.83,0.000101567,,407.5,407.5
10149.59,0.00010162,,407.5,407.5
10165.9,0.000101625,,407.5,407.5
10182.14,0.000101603,,407.5,407.5
10198.22,0.000101601,,407.5,407.5
10214.15,0.000101589,,407.5,407.5
10230.65,0.000101627,,407.5,407.5
10246.84,0.000101648,,407.5,407.5
10264.08,0.000101652,,407.5,407.5
10280.07,0.000101642,,407.5,407.5
10296.21,0.000101681,,407.5,407.5
10312.68,0.000101676,,407.5,407.5
10329.61,0.000101685,,407.5,407.5
10346.86,0.000101686,,407.5,407.5
10362.73,0.000101711,,407.5,407.5
10378.83,0.000101731,,407.5,407.5
10395.82,0.00010173,,407.5,407.5
10412.24,0.000101709,,407.5,407.5
10428.25,0.000101703,,407.5,407.5
10444.11,0.000101745,,407.5,407.5
10460.32,0.000101759,,407.5,407.5
10476.48,0.00010178,,407.5,407.5
10492.81,0.000101765,,407.5,407.5
10508.9,0.000101775,,407.5,407.5
10525.59,0.000101783,,407.5,407.5
10541.79,0.00010182,,407.5,407.5
10558.34,0.000101829,,407.5,407.5
10575.49,0.000101822,,407.5,407.5
10592.0,0.000101831,,407.5,407.5
10609.91,0.000101807,,407.5,407.5
10626.51,0.000101815,,407.5,407.5
10642.8,0.000101835,,407.5,407.5
10659.45,0.000101843,,407.5,407.5
10675.88,0.00010185,,407.5,407.5
10691.92,0.000101851,,407.5,407.5
10708.0,0.000101886,,407.5,407.5
10724.16,0.00010189,,407.5,407.5
10740.17,0.000101871,,407.5,407.5
10756.66,0.000101872,,407.5,407.5
10773.56,0.000101877,,407.5,407.5
10789.76,0.000101873,,407.5,407.5
10806.06,0.000101875,,407.5,407.5
10822.17,0.000101875,,407.5,407.5
10838.4,0.000101886,,407.5,407.5
10854.61,0.000101873,,407.5,407.5
10870.48,0.000101866,,407.5,407.5
10886.7,0.000101838,,407.5,407.5
10903.2,0.00010183,,407.5,407.5
10919.65,0.000101868,,407.5,407.5
10935.61,0.000101922,,407.5,407.5
10951.68,0.000101943,,407.5,407.5
10968.01,0.000101966,,407.5,407.5
10984.21,0.000101966,,407.5,407.5
11000.54,0.000101962,,407.5,407.5
11016.92,0.00010197,,407.5,407.5
