Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
5487.21,0.0001598702,1.488325e-08,439.99,440.0
5503.94,0.0001599808,5.169526e-08,440.0,440.0
5520.46,0.000160064,2.421662e-08,440.01,440.0
5537.1,0.0001606566,9.774511e-07,440.0,440.0
5554.07,0.0001622773,1.867804e-07,439.99,440.0
5570.79,0.0001624284,2.745004e-07,440.0,440.0
5587.69,0.0001626388,3.84996e-07,440.01,440.0
5604.55,0.0001629897,1.463694e-07,440.0,440.0
5621.31,0.0001628319,4.442584e-08,440.0,440.0
5638.14,0.0001625539,1.296572e-07,440.01,440.0
5655.56,0.0001623796,9.995799e-08,439.99,440.0
5672.52,0.0001622088,2.134014e-07,440.0,440.0
5689.06,0.0001619572,1.09668e-07,440.0,440.0
5706.07,0.0001615799,1.920396e-07,440.0,440.0
5722.81,0.000161437,7.118833e-08,440.0,440.0
5739.78,0.0001614458,7.309628e-08,440.0,440.0
5756.64,0.0001612788,1.301707e-07,439.99,440.0
5773.67,0.0001612949,5.838274e-08,440.01,440.0
5790.58,0.0001611566,8.661819e-08,440.0,440.0
5807.2,0.0001612271,8.188128e-08,440.0,440.0
5824.33,0.0001613206,1.26977e-07,440.0,440.0
5841.3,0.0001615034,6.054053e-08,440.0,440.0
5858.08,0.0001613373,1.401111e-07,440.0,440.0
5875.14,0.0001612366,5.02885e-08,440.0,440.0
5892.0,0.0001612844,6.321076e-08,439.99,440.0
5908.95,0.000161458,1.381955e-07,440.01,440.0
5925.69,0.000161476,6.443601e-08,440.0,440.0
5942.74,0.0001613335,5.064967e-08,440.0,440.0
5959.79,0.0001612189,2.127071e-07,440.0,440.0
5976.64,0.000160996,1.911922e-07,440.0,440.0
5993.6,0.0001612826,1.24616e-07,440.0,440.0
6010.49,0.0001613371,7.203155e-08,440.0,440.0
6027.48,0.0001614144,9.656569e-08,440.0,440.0
6044.36,0.0001614739,5.229075e-08,440.0,440.0
6061.76,0.0001612774,1.088508e-07,440.0,440.0
6078.67,0.0001612477,2.498466e-08,440.01,440.0
6095.59,0.0001608989,1.787938e-07,440.0,440.0
