Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
77181.35,8.09e-05,,400,400,0.000809,0.06547619047619015
65229.54,8.14e-05,,400,400,0.000814,0.035714285714285296
13791.65,7.82e-05,,400,400,0.000782,0.22619047619047594
40107.79,8.09e-05,,400,400,0.000809,0.06547619047619015
73448.98,8.11e-05,,400,400,0.000811,0.053571428571428596
30831.66,8.03e-05,,400,400,0.000803,0.1011904761904761
23330.55,7.97e-05,,400,400,0.000797,0.13690476190476203
17650.13,7.9e-05,,400,400,0.0007899999999999,0.17857142857202346
35073.53,8.05e-05,,400,400,0.000805,0.0892857142857139
14597.64,7.84e-05,,400,400,0.000784,0.21428571428571438
95793.02,8.16e-05,,400,400,0.000816,0.02380952380952375
80795.09,8.08e-05,,400,400,0.000808,0.07142857142857124
29408.85,8.02e-05,,400,400,0.000802,0.10714285714285719
68616.23,8.13e-05,,400,400,0.0008129999999999,0.04166666666726206
70926.43,8.12e-05,,400,400,0.000812,0.0476190476190475
78997.06,8.09e-05,,400,400,0.000809,0.06547619047619015
62400.0,8.16e-05,,400,400,0.000816,0.02380952380952375
15256.91,7.85e-05,,400,400,0.000785,0.2083333333333333
36062.37,8.06e-05,,400,400,0.000806,0.08333333333333344
99961.94,8.2e-05,,400,400,0.00082,-0.0
51843.7,8.14e-05,,400,400,0.000814,0.035714285714285296
11308.24,7.75e-05,,400,400,0.000775,0.26785714285714296
93352.15,8.14e-05,,400,400,0.000814,0.035714285714285296
48932.65,8.2e-05,,400,400,0.00082,-0.0
10257.35,7.72e-05,,400,400,0.000772,0.28571428571428564
26062.87,8e-05,,400,400,0.0008,0.11904761904761874
25195.69,7.99e-05,,400,400,0.000799,0.12499999999999983
75899.99,8.1e-05,,400,400,0.00081,0.059523809523809694
38726.37,8.09e-05,,400,400,0.000809,0.06547619047619015
30292.8,8.03e-05,,400,400,0.000803,0.1011904761904761
86675.53,8.07e-05,,400,400,0.000807,0.07738095238095234
62564.26,8.16e-05,,400,400,0.000816,0.02380952380952375
33542.61,8.05e-05,,400,400,0.000805,0.0892857142857139
48982.35,8.19e-05,,400,400,0.000819,0.005952380952381099
47031.53,8.19e-05,,400,400,0.000819,0.005952380952381099
64569.72,8.15e-05,,400,400,0.000815,0.029761904761904847
55474.02,8.17e-05,,400,400,0.0008169999999999,0.017857142857738314
35536.01,8.06e-05,,400,400,0.000806,0.08333333333333344
11390.96,7.75e-05,,400,400,0.000775,0.26785714285714296
79997.96,8.08e-05,,400,400,0.000808,0.07142857142857124
98068.72,8.18e-05,,400,400,0.0008179999999999,0.011904761905357218
67232.14,8.13e-05,,400,400,0.0008129999999999,0.04166666666726206
26847.09,8.01e-05,,400,400,0.000801,0.11309523809523829
24443.48,7.99e-05,,400,400,0.000799,0.12499999999999983
15190.61,7.85e-05,,400,400,0.000785,0.2083333333333333
72232.26,8.11e-05,,400,400,0.000811,0.053571428571428596
98661.47,8.19e-05,,400,400,0.000819,0.005952380952381099
18717.66,7.91e-05,,400,400,0.000791,0.17261904761904734
61797.16,8.16e-05,,400,400,0.000816,0.02380952380952375
64405.48,8.15e-05,,400,400,0.000815,0.029761904761904847
80194.3,8.07e-05,,400,400,0.000807,0.07738095238095234
51120.85,8.16e-05,,400,400,0.000816,0.02380952380952375
39225.84,8.09e-05,,400,400,0.000809,0.06547619047619015
22067.86,7.96e-05,,400,400,0.0007959999999999,0.14285714285773815
18240.25,7.91e-05,,400,400,0.000791,0.17261904761904734
44337.94,8.14e-05,,400,400,0.000814,0.035714285714285296
15485.56,7.85e-05,,400,400,0.000785,0.2083333333333333
12776.22,7.8e-05,,400,400,0.00078,0.23809523809523814
37180.64,8.07e-05,,400,400,0.000807,0.07738095238095234
42816.08,8.11e-05,,400,400,0.000811,0.053571428571428596
81318.75,8.06e-05,,400,400,0.000806,0.08333333333333344
16880.03,7.88e-05,,400,400,0.000788,0.19047619047619063
82272.12,8.07e-05,,400,400,0.000807,0.07738095238095234
85224.23,8.07e-05,,400,400,0.000807,0.07738095238095234
53835.7,8.16e-05,,400,400,0.000816,0.02380952380952375
34690.91,8.05e-05,,400,400,0.000805,0.0892857142857139
63468.94,8.15e-05,,400,400,0.000815,0.029761904761904847
95037.43,8.15e-05,,400,400,0.000815,0.029761904761904847
58623.47,8.15e-05,,400,400,0.000815,0.029761904761904847
69503.07,8.13e-05,,400,400,0.0008129999999999,0.04166666666726206
53538.86,8.16e-05,,400,400,0.000816,0.02380952380952375
76738.42,8.1e-05,,400,400,0.00081,0.059523809523809694
94072.62,8.15e-05,,400,400,0.000815,0.029761904761904847
94726.62,8.15e-05,,400,400,0.000815,0.029761904761904847
63633.16,8.16e-05,,400,400,0.000816,0.02380952380952375
92050.86,8.12e-05,,400,400,0.000812,0.0476190476190475
81860.78,8.07e-05,,400,400,0.000807,0.07738095238095234
73990.24,8.11e-05,,400,400,0.000811,0.053571428571428596
72704.25,8.11e-05,,400,400,0.000811,0.053571428571428596
12186.07,7.78e-05,,400,400,0.0007779999999999,0.25000000000059536
60582.86,8.15e-05,,400,400,0.000815,0.029761904761904847
46851.35,8.19e-05,,400,400,0.000819,0.005952380952381099
36785.16,8.07e-05,,400,400,0.000807,0.07738095238095234
31670.33,8.03e-05,,400,400,0.000803,0.1011904761904761
21902.56,7.95e-05,,400,400,0.0007949999999999,0.14880952381011925
21689.84,7.95e-05,,400,400,0.0007949999999999,0.14880952381011925
88832.37,8.09e-05,,400,400,0.000809,0.06547619047619015
96266.45,8.16e-05,,400,400,0.000816,0.02380952380952375
29669.1,8.02e-05,,400,400,0.000802,0.10714285714285719
72069.79,8.11e-05,,400,400,0.000811,0.053571428571428596
26961.38,8.01e-05,,400,400,0.000801,0.11309523809523829
53064.29,8.15e-05,,400,400,0.000815,0.029761904761904847
69639.39,8.13e-05,,400,400,0.0008129999999999,0.04166666666726206
97561.54,8.18e-05,,400,400,0.0008179999999999,0.011904761905357218
73514.19,8.11e-05,,400,400,0.000811,0.053571428571428596
12760.33,7.8e-05,,400,400,0.00078,0.23809523809523814
29965.03,8.03e-05,,400,400,0.000803,0.1011904761904761
68418.48,8.13e-05,,400,400,0.0008129999999999,0.04166666666726206
62254.52,8.16e-05,,400,400,0.000816,0.02380952380952375
15697.38,7.86e-05,,400,400,0.000786,0.2023809523809522
47080.22,8.19e-05,,400,400,0.000819,0.005952380952381099
86493.42,8.07e-05,,400,400,0.000807,0.07738095238095234
80583.56,8.07e-05,,400,400,0.000807,0.07738095238095234
52304.75,8.15e-05,,400,400,0.000815,0.029761904761904847
23264.39,7.97e-05,,400,400,0.000797,0.13690476190476203
27603.22,8.01e-05,,400,400,0.000801,0.11309523809523829
21363.01,7.94e-05,,400,400,0.000794,0.15476190476190468
44832.44,8.16e-05,,400,400,0.000816,0.02380952380952375
42255.31,8.11e-05,,400,400,0.000811,0.053571428571428596
83356.19,8.08e-05,,400,400,0.000808,0.07142857142857124
75135.49,8.1e-05,,400,400,0.00081,0.059523809523809694
79029.89,8.09e-05,,400,400,0.000809,0.06547619047619015
79572.05,8.08e-05,,400,400,0.000808,0.07142857142857124
74596.39,8.11e-05,,400,400,0.000811,0.053571428571428596
57429.5,8.16e-05,,400,400,0.000816,0.02380952380952375
77164.59,8.1e-05,,400,400,0.00081,0.059523809523809694
50659.21,8.16e-05,,400,400,0.000816,0.02380952380952375
