Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Unnamed: 5,Unnamed: 6,Conductivity_(S/cm),Delta_T
4225.025,0.0001245956,1.587591e-08,430.0,430.0,,,0.001245956,0.5907034354625053
2731.944,0.0001238032,1.261216e-08,430.0,430.0,,,0.001238032,0.6588621858280722
6822.964,0.0001255205,9.264628e-09,430.01,430.01,,,0.001255205,0.5111476199487358
8036.598,0.0001258207,5.716448e-09,430.0,430.0,,,0.001258207,0.4853257410242748
1433.711,0.000122798,1.505545e-08,430.0,430.0,,,0.00122798,0.7453250528995855
4846.563,0.0001250427,1.823336e-08,430.0,430.0,,,0.001250427,0.5522458669510926
7338.384,0.0001255607,9.117139e-09,430.0,430.0,,,0.001255607,0.5076897933905632
6620.034,0.0001255114,8.934328e-09,430.01,430.01,,,0.0012551139999999,0.511930361782416
1104.751,0.0001223464,1.042646e-08,430.01,430.01,,,0.001223464,0.7841696915481084
3132.853,0.0001240596,8.329332e-09,430.0,430.0,,,0.001240596,0.6368077895714702
1836.233,0.0001232062,3.858843e-08,430.01,430.01,,,0.001232062,0.7102134906845132
1306.789,0.0001226675,1.124722e-08,430.0,430.0,,,0.001226675,0.7565500868757424
9310.018,0.0001260751,1.073364e-08,430.0,430.0,,,0.001260751,0.46344337593972007
8332.141,0.0001258189,7.415449e-09,430.01,430.01,,,0.0012581889999999,0.48548056907997683
1067.775,0.0001222642,1.514962e-08,430.0,430.0,,,0.001222642,0.7912401727192979
7244.781,0.0001255318,1.208121e-08,429.99,429.99,,,0.0012553179999999,0.510175643827521
9181.338,0.0001261006,6.292853e-09,430.0,430.0,,,0.0012610059999999,0.4612499784969631
2110.12,0.0001234817,5.313505e-09,430.01,430.01,,,0.0012348169999999,0.6865161967357083
3022.851,0.0001239946,5.581716e-09,430.0,430.0,,,0.001239946,0.6423988026630428
9754.258,0.0001261412,1.41327e-08,430.01,430.01,,,0.001261412,0.45775774570352223
6510.735,0.0001254576,1.007968e-08,430.01,430.01,,,0.001254576,0.5165580003096557
1542.244,0.0001229383,7.273239e-09,430.01,430.01,,,0.001229383,0.7332570661803931
4207.151,0.0001246257,1.101565e-08,430.0,430.0,,,0.001246257,0.5881143663231785
5119.934,0.0001250514,1.097674e-08,430.0,430.0,,,0.0012505139999999,0.5514975313535423
1488.056,0.0001228428,2.128536e-08,430.01,430.01,,,0.001228428,0.7414715546457027
1140.906,0.0001223879,1.965508e-08,430.0,430.0,,,0.0012238789999999,0.7806000447289652
9144.538,0.0001260838,1.401428e-08,430.0,430.0,,,0.001260838,0.46269504034131
2986.85,0.000123977,9.055385e-09,430.0,430.0,,,0.0012397699999999,0.6439126769779279
1689.833,0.0001230958,1.126252e-08,430.0,430.0,,,0.0012309579999999,0.7197096113824436
3882.152,0.0001244774,1.098686e-08,430.0,430.0,,,0.001244774,0.6008704777305658
9383.918,0.0001260823,1.778295e-08,429.99,429.99,,,0.001260823,0.46282406372034735
3169.403,0.0001240764,1.359902e-08,430.0,430.0,,,0.001240764,0.6353627277262635
3096.112,0.0001240393,1.007803e-08,430.0,430.0,,,0.0012403929999999,0.6385539059686215
5156.071,0.0001250432,1.016311e-08,430.0,430.0,,,0.0012504319999999,0.5522028591589406
4153.532,0.0001245759,1.327864e-08,430.0,430.0,,,0.001245759,0.5923979425071833
3645.53,0.0001243573,1.292758e-08,430.0,430.0,,,0.001243573,0.6112009496120702
7631.797,0.0001256708,1.134117e-08,429.99,429.99,,,0.001256708,0.4982194773692993
9717.078,0.0001261463,4.217688e-09,430.0,430.0,,,0.001261463,0.45731906621479845
4389.212,0.0001247572,6.795423e-09,430.0,430.0,,,0.001247572,0.5768033167609978
4718.626,0.0001249912,1.329829e-08,430.0,430.0,,,0.001249912,0.5566756696313381
8666.608,0.0001259249,7.40045e-09,430.0,430.0,,,0.001259249,0.47636291696055316
8997.118,0.0001260872,9.342852e-09,430.0,430.0,,,0.001260872,0.4624025873488287
3590.205,0.000124332,1.067708e-08,430.0,430.0,,,0.00124332,0.6133771439384819
7558.335,0.0001256173,7.58727e-09,430.0,430.0,,,0.001256173,0.5028213112215939
2238.483,0.0001235976,4.857983e-09,430.0,430.0,,,0.001235976,0.6765469903146458
4645.471,0.0001248327,1.493728e-08,430.0,430.0,,,0.001248327,0.5703091400161711
